0.4;0.34;0.39;0.39;0.37;0.38;0.37;0.37;0.43;0.4;
0.64;0.54;0.55;0.59;0.57;0.57;0.57;0.57;0.57;0.64;
1.42;1.44;1.42;1.32;1.31;1.37;1.4;1.45;1.45;1.27;
1.89;1.91;2.05;1.87;1.84;1.79;1.82;1.76;1.75;1.83;
3.16;3.05;3;3.33;3.12;3.33;3.01;2.97;3.16;3.13;
5.62;5.56;5.58;5.55;5.74;5.67;5.36;5.6;5.42;5.77;
4.84;4.91;4.62;5.04;4.79;4.62;4.76;4.78;4.86;4.63;
5.92;6.09;6.83;6.29;6.65;6.69;6.61;6.64;6.74;6.65;
8.49;7.73;8.1;8.74;8.36;8.63;8.71;8.52;8.01;8.22;
8.85;9.12;9.25;8.98;9.44;9.1;9.24;9.03;9.47;9.01;
26.19;26.27;26.2;28.13;25.95;26.65;26.56;27.06;26.16;25.75;
1;1;1.07;0.89;1.08;1.11;1.1;1.07;0.96;0.99;
1.22;1.21;1.17;1.14;1.21;1.09;1.16;1.21;1.26;1.22;
1.1;0.96;0.95;1.02;1.09;0.91;0.98;0.98;0.96;1.05;
